{'nb_hidden3': 31, 'nb_hidden2': 482, 'nb_hidden1': 313, 'mse': 0.40571254, 'learning_rate': 0.011555662388299985, 'keep_value': 0.41486559046857818, 'reg_scale': 1.2738780501371698e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 75, 'nb_hidden2': 130, 'nb_hidden1': 238, 'mse': 1.0450954, 'learning_rate': 0.3604852838767213, 'keep_value': 0.21662142401333084, 'reg_scale': 0.052286736065414674, 'nb_hidden_layer': 1}
{'nb_hidden3': 363, 'nb_hidden2': 356, 'nb_hidden1': 406, 'mse': 36.065601, 'learning_rate': 0.13909512829269127, 'keep_value': 0.59783106237402428, 'reg_scale': 8.2974615098226554, 'nb_hidden_layer': 3}
{'nb_hidden3': 377, 'nb_hidden2': 271, 'nb_hidden1': 294, 'mse': 0.21985747, 'learning_rate': 0.00026852276710299244, 'keep_value': 0.96812607721955335, 'reg_scale': 2.7832996654301909, 'nb_hidden_layer': 2}
{'nb_hidden3': 301, 'nb_hidden2': 264, 'nb_hidden1': 395, 'mse': 1.296578, 'learning_rate': 0.019077371652826178, 'keep_value': 0.22465823394351214, 'reg_scale': 2.646582055206975, 'nb_hidden_layer': 3}
{'nb_hidden3': 439, 'nb_hidden2': 268, 'nb_hidden1': 22, 'mse': 24.483465, 'learning_rate': 1.5125034590596682e-05, 'keep_value': 0.70795640321658959, 'reg_scale': 2.0901307587625416e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 155, 'nb_hidden2': 272, 'nb_hidden1': 113, 'mse': 4.526299, 'learning_rate': 4.9882562804695336, 'keep_value': 0.66705134931778087, 'reg_scale': 4.2239918885854049e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 314, 'nb_hidden2': 209, 'nb_hidden1': 67, 'mse': 9505164.0, 'learning_rate': 70.363749438109011, 'keep_value': 0.11114671689051159, 'reg_scale': 1.4567175541914251e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 394, 'nb_hidden2': 280, 'nb_hidden1': 332, 'mse': 76817.094, 'learning_rate': 11.993602439603734, 'keep_value': 0.05637820280961614, 'reg_scale': 0.0005333775147907334, 'nb_hidden_layer': 1}
{'nb_hidden3': 380, 'nb_hidden2': 242, 'nb_hidden1': 429, 'mse': 0.03003457, 'learning_rate': 0.00088690659529812744, 'keep_value': 0.9563889328646924, 'reg_scale': 0.0001412468306220095, 'nb_hidden_layer': 2}
{'nb_hidden3': 316, 'nb_hidden2': 461, 'nb_hidden1': 420, 'mse': 3336864.5, 'learning_rate': 26.856797866726325, 'keep_value': 0.81566166826446951, 'reg_scale': 5.7398208964483087e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 380, 'nb_hidden2': 104, 'nb_hidden1': 191, 'mse': 0.056496281, 'learning_rate': 2.9264530980209901e-05, 'keep_value': 0.79480932976930896, 'reg_scale': 0.028815082023514436, 'nb_hidden_layer': 2}
{'nb_hidden3': 205, 'nb_hidden2': 314, 'nb_hidden1': 440, 'mse': 0.030551156, 'learning_rate': 0.00029189347614239482, 'keep_value': 0.23867815560445949, 'reg_scale': 0.00028011297554530508, 'nb_hidden_layer': 3}
{'nb_hidden3': 224, 'nb_hidden2': 157, 'nb_hidden1': 331, 'mse': 1.185805, 'learning_rate': 0.02123933382214219, 'keep_value': 0.8763417588518565, 'reg_scale': 0.010940762708472782, 'nb_hidden_layer': 2}
{'nb_hidden3': 201, 'nb_hidden2': 209, 'nb_hidden1': 216, 'mse': 0.1287688, 'learning_rate': 0.3621593135293219, 'keep_value': 0.29280011378484727, 'reg_scale': 0.00025789748280663369, 'nb_hidden_layer': 1}
{'nb_hidden3': 355, 'nb_hidden2': 11, 'nb_hidden1': 253, 'mse': 2095907.5, 'learning_rate': 16.948539297415742, 'keep_value': 0.86122709042413492, 'reg_scale': 1.2189444883500398, 'nb_hidden_layer': 3}
{'nb_hidden3': 269, 'nb_hidden2': 159, 'nb_hidden1': 415, 'mse': 0.12498282, 'learning_rate': 0.0043223763501535365, 'keep_value': 0.84024052145224504, 'reg_scale': 5.0332033743919667e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 283, 'nb_hidden2': 440, 'nb_hidden1': 205, 'mse': 0.23178674, 'learning_rate': 0.0015951467858031372, 'keep_value': 0.57270608451661154, 'reg_scale': 8.246896613698393, 'nb_hidden_layer': 2}
{'nb_hidden3': 483, 'nb_hidden2': 182, 'nb_hidden1': 376, 'mse': 14.294552, 'learning_rate': 0.12820343873005438, 'keep_value': 0.27853811329257627, 'reg_scale': 0.5103263775894632, 'nb_hidden_layer': 1}
{'nb_hidden3': 242, 'nb_hidden2': 269, 'nb_hidden1': 296, 'mse': 61983.289, 'learning_rate': 4.2899496309868397, 'keep_value': 0.85258749620603114, 'reg_scale': 0.0023563268837835396, 'nb_hidden_layer': 2}
{'nb_hidden3': 142, 'nb_hidden2': 5, 'nb_hidden1': 282, 'mse': 55116.805, 'learning_rate': 22.098162252233891, 'keep_value': 0.3990178840241535, 'reg_scale': 3.0724771778138432e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 310, 'nb_hidden2': 469, 'nb_hidden1': 351, 'mse': 150565.2, 'learning_rate': 12.263407796302054, 'keep_value': 0.74597292618469146, 'reg_scale': 0.013999918768488785, 'nb_hidden_layer': 3}
{'nb_hidden3': 114, 'nb_hidden2': 244, 'nb_hidden1': 378, 'mse': 0.29527479, 'learning_rate': 0.0045275591571662709, 'keep_value': 0.21223905727383752, 'reg_scale': 0.010092837402236782, 'nb_hidden_layer': 3}
{'nb_hidden3': 401, 'nb_hidden2': 279, 'nb_hidden1': 297, 'mse': 0.030339863, 'learning_rate': 1.1697442759949118e-05, 'keep_value': 0.021396291702406645, 'reg_scale': 1.5043526966208379e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 116, 'nb_hidden2': 127, 'nb_hidden1': 388, 'mse': 0.23055393, 'learning_rate': 0.049055228315073238, 'keep_value': 0.72266926569085221, 'reg_scale': 0.0016911113125437937, 'nb_hidden_layer': 3}
{'nb_hidden3': 11, 'nb_hidden2': 333, 'nb_hidden1': 179, 'mse': 0.048543964, 'learning_rate': 0.0095105903517760954, 'keep_value': 0.39211615080590811, 'reg_scale': 0.0032680209454969016, 'nb_hidden_layer': 2}
{'nb_hidden3': 493, 'nb_hidden2': 256, 'nb_hidden1': 465, 'mse': 0.40147436, 'learning_rate': 0.09481765694743309, 'keep_value': 0.25952840463294768, 'reg_scale': 0.19616892362898253, 'nb_hidden_layer': 1}
{'nb_hidden3': 52, 'nb_hidden2': 166, 'nb_hidden1': 66, 'mse': 0.03850906, 'learning_rate': 0.0096733024656560397, 'keep_value': 0.32977689409247146, 'reg_scale': 4.7785509388691312e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 293, 'nb_hidden2': 271, 'nb_hidden1': 202, 'mse': 466.38165, 'learning_rate': 0.26716900061252979, 'keep_value': 0.66209076398309663, 'reg_scale': 2.9609890886766266, 'nb_hidden_layer': 3}
{'nb_hidden3': 82, 'nb_hidden2': 69, 'nb_hidden1': 280, 'mse': 0.030801527, 'learning_rate': 0.23626506396616762, 'keep_value': 0.46762280585329452, 'reg_scale': 6.5568784029397199e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 25, 'nb_hidden2': 154, 'nb_hidden1': 327, 'mse': 0.71729755, 'learning_rate': 0.3637215940685497, 'keep_value': 0.88568224841440546, 'reg_scale': 9.6947103207662625e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 413, 'nb_hidden2': 34, 'nb_hidden1': 187, 'mse': 0.2522198, 'learning_rate': 0.18279699625793058, 'keep_value': 0.30904237621029762, 'reg_scale': 0.035477008688509518, 'nb_hidden_layer': 3}
