{'nb_hidden3': 127, 'nb_hidden2': 42, 'nb_hidden1': 355, 'mse': 0.36625996, 'learning_rate': 0.0038461792328031786, 'keep_value': 0.016345073769612473, 'reg_scale': 4.48455465258049e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 431, 'nb_hidden2': 76, 'nb_hidden1': 465, 'mse': 0.034611829, 'learning_rate': 0.0010340716992522326, 'keep_value': 0.97022176412896921, 'reg_scale': 0.0001052150025187976, 'nb_hidden_layer': 1}
{'nb_hidden3': 432, 'nb_hidden2': 396, 'nb_hidden1': 24, 'mse': 69.051804, 'learning_rate': 18.424221580506618, 'keep_value': 0.12399960521417874, 'reg_scale': 1.3400653612043713e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 375, 'nb_hidden2': 178, 'nb_hidden1': 79, 'mse': 2512.0508, 'learning_rate': 2.8502890044663904, 'keep_value': 0.60056503329824673, 'reg_scale': 6.7033204735514749e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 302, 'nb_hidden2': 32, 'nb_hidden1': 193, 'mse': 0.0081747957, 'learning_rate': 0.00074994989876482469, 'keep_value': 0.96797892184613865, 'reg_scale': 1.0669743008869631e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 482, 'nb_hidden2': 443, 'nb_hidden1': 112, 'mse': 0.32737643, 'learning_rate': 0.031252944954448247, 'keep_value': 0.056509174883179192, 'reg_scale': 0.00027755323146793411, 'nb_hidden_layer': 1}
{'nb_hidden3': 232, 'nb_hidden2': 245, 'nb_hidden1': 75, 'mse': 19.078976, 'learning_rate': 2.5748206503051023e-05, 'keep_value': 0.10414813107613563, 'reg_scale': 0.00016614917216047935, 'nb_hidden_layer': 1}
{'nb_hidden3': 101, 'nb_hidden2': 22, 'nb_hidden1': 81, 'mse': 0.82761979, 'learning_rate': 0.049437505094075671, 'keep_value': 0.65712227893541042, 'reg_scale': 0.00041087247016157607, 'nb_hidden_layer': 3}
{'nb_hidden3': 321, 'nb_hidden2': 81, 'nb_hidden1': 294, 'mse': 10.460665, 'learning_rate': 1.5026963031557594e-05, 'keep_value': 0.10843433397805191, 'reg_scale': 4.561635552296778, 'nb_hidden_layer': 3}
{'nb_hidden3': 56, 'nb_hidden2': 341, 'nb_hidden1': 264, 'mse': 0.2886394, 'learning_rate': 0.011814474339303714, 'keep_value': 0.16494513911776842, 'reg_scale': 3.6962837413126098e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 175, 'nb_hidden2': 293, 'nb_hidden1': 189, 'mse': 0.042277873, 'learning_rate': 3.959653118712798e-05, 'keep_value': 0.61855706334770655, 'reg_scale': 0.092071646451925671, 'nb_hidden_layer': 2}
{'nb_hidden3': 370, 'nb_hidden2': 184, 'nb_hidden1': 153, 'mse': 137715.09, 'learning_rate': 5.3471190611100239, 'keep_value': 0.8030866212829022, 'reg_scale': 0.071023192692671516, 'nb_hidden_layer': 3}
{'nb_hidden3': 305, 'nb_hidden2': 316, 'nb_hidden1': 36, 'mse': 1.4303309, 'learning_rate': 0.042111470314470226, 'keep_value': 0.055204238704350206, 'reg_scale': 0.23430013241246817, 'nb_hidden_layer': 2}
{'nb_hidden3': 75, 'nb_hidden2': 254, 'nb_hidden1': 252, 'mse': 0.066780657, 'learning_rate': 1.4782237575264435e-05, 'keep_value': 0.66810778257704861, 'reg_scale': 0.017231795302271865, 'nb_hidden_layer': 3}
{'nb_hidden3': 319, 'nb_hidden2': 367, 'nb_hidden1': 138, 'mse': 0.1146947, 'learning_rate': 0.0082363679130634249, 'keep_value': 0.72651469164406246, 'reg_scale': 0.00042552826390419645, 'nb_hidden_layer': 2}
{'nb_hidden3': 125, 'nb_hidden2': 485, 'nb_hidden1': 308, 'mse': 1.6050609, 'learning_rate': 0.048313690614199864, 'keep_value': 0.068936377651448555, 'reg_scale': 3.12589715843501e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 404, 'nb_hidden2': 147, 'nb_hidden1': 467, 'mse': 10.19622, 'learning_rate': 0.19328013174151473, 'keep_value': 0.86534054831547724, 'reg_scale': 1.3586016813954277e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 29, 'nb_hidden2': 114, 'nb_hidden1': 243, 'mse': 0.0034162076, 'learning_rate': 0.00036861637806191407, 'keep_value': 0.032443280197808289, 'reg_scale': 0.067510045515163583, 'nb_hidden_layer': 2}
{'nb_hidden3': 329, 'nb_hidden2': 139, 'nb_hidden1': 249, 'mse': 0.10106758, 'learning_rate': 0.0025802115377383562, 'keep_value': 0.95315267505823242, 'reg_scale': 0.016455302988713363, 'nb_hidden_layer': 2}
{'nb_hidden3': 496, 'nb_hidden2': 54, 'nb_hidden1': 450, 'mse': 0.00052016228, 'learning_rate': 0.0001665851143884775, 'keep_value': 0.59712967046247478, 'reg_scale': 1.7530376317045326e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 27, 'nb_hidden2': 124, 'nb_hidden1': 415, 'mse': 0.01729214, 'learning_rate': 0.000734768830221722, 'keep_value': 0.19072492452701195, 'reg_scale': 2.429401619728345e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 68, 'nb_hidden2': 161, 'nb_hidden1': 465, 'mse': 0.059241019, 'learning_rate': 0.0014611183410123908, 'keep_value': 0.63414219251761683, 'reg_scale': 0.00075840476854012332, 'nb_hidden_layer': 1}
{'nb_hidden3': 16, 'nb_hidden2': 258, 'nb_hidden1': 79, 'mse': 962.14978, 'learning_rate': 1.2568124929975768, 'keep_value': 0.50965495008924877, 'reg_scale': 2.6336960388192135e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 64, 'nb_hidden2': 288, 'nb_hidden1': 473, 'mse': 0.0006820616, 'learning_rate': 0.00012732413849989821, 'keep_value': 0.76910261367371924, 'reg_scale': 0.12855546001588047, 'nb_hidden_layer': 3}
{'nb_hidden3': 350, 'nb_hidden2': 283, 'nb_hidden1': 206, 'mse': 3.5748098, 'learning_rate': 0.019692873198930882, 'keep_value': 0.64937515119566469, 'reg_scale': 8.0269302850891704e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 81, 'nb_hidden2': 495, 'nb_hidden1': 160, 'mse': 113720.74, 'learning_rate': 9.7605831747691685, 'keep_value': 0.70934422605867997, 'reg_scale': 1.8729323623106367e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 216, 'nb_hidden2': 270, 'nb_hidden1': 313, 'mse': 12486626.0, 'learning_rate': 33.128767649304329, 'keep_value': 0.28397911762405059, 'reg_scale': 0.14508317020475361, 'nb_hidden_layer': 2}
{'nb_hidden3': 224, 'nb_hidden2': 184, 'nb_hidden1': 492, 'mse': 1.5007268, 'learning_rate': 0.017462373969013307, 'keep_value': 0.18195984479543215, 'reg_scale': 4.7038943994617063e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 412, 'nb_hidden2': 188, 'nb_hidden1': 286, 'mse': 0.085183583, 'learning_rate': 1.6389621682819229e-05, 'keep_value': 0.52987864899333903, 'reg_scale': 0.084326111210802523, 'nb_hidden_layer': 3}
{'nb_hidden3': 302, 'nb_hidden2': 161, 'nb_hidden1': 100, 'mse': 16.950897, 'learning_rate': 2.4312885551661125e-05, 'keep_value': 0.47347256281084282, 'reg_scale': 1.6293197678919702e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 246, 'nb_hidden2': 104, 'nb_hidden1': 163, 'mse': 16.097279, 'learning_rate': 0.13061550273182129, 'keep_value': 0.14726247720377783, 'reg_scale': 1.5089322659945748, 'nb_hidden_layer': 2}
{'nb_hidden3': 177, 'nb_hidden2': 431, 'nb_hidden1': 350, 'mse': 4095.3389, 'learning_rate': 0.94496305746032749, 'keep_value': 0.34775583587458936, 'reg_scale': 0.17521006879185316, 'nb_hidden_layer': 1}
{'nb_hidden3': 13, 'nb_hidden2': 129, 'nb_hidden1': 322, 'mse': 10.614118, 'learning_rate': 0.14072451035600683, 'keep_value': 0.69233523420703069, 'reg_scale': 5.888465710036679e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 119, 'nb_hidden2': 48, 'nb_hidden1': 110, 'mse': 0.0090789208, 'learning_rate': 0.00082254460878711797, 'keep_value': 0.64878658825243085, 'reg_scale': 4.0615685519498146e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 167, 'nb_hidden2': 387, 'nb_hidden1': 50, 'mse': 0.52008063, 'learning_rate': 0.029822167439760749, 'keep_value': 0.651429860076992, 'reg_scale': 1.7164528530181693, 'nb_hidden_layer': 3}
{'nb_hidden3': 390, 'nb_hidden2': 86, 'nb_hidden1': 123, 'mse': 0.0061769206, 'learning_rate': 0.00012983591850050953, 'keep_value': 0.5089371503776039, 'reg_scale': 9.910306330051999e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 221, 'nb_hidden2': 356, 'nb_hidden1': 369, 'mse': 0.00078137917, 'learning_rate': 3.9467470211636148e-05, 'keep_value': 0.22207659338607033, 'reg_scale': 0.00053496012172370491, 'nb_hidden_layer': 2}
{'nb_hidden3': 388, 'nb_hidden2': 240, 'nb_hidden1': 91, 'mse': 253309.19, 'learning_rate': 14.110324061947292, 'keep_value': 0.82922605926532766, 'reg_scale': 3.0528313830444156, 'nb_hidden_layer': 3}
