{'nb_hidden3': 166, 'nb_hidden2': 122, 'nb_hidden1': 255, 'mse': 1368.6428, 'learning_rate': 0.044310950914387366, 'keep_value': 0.89706845792258627, 'reg_scale': 6.3347685505999847, 'nb_hidden_layer': 2}
{'nb_hidden3': 384, 'nb_hidden2': 221, 'nb_hidden1': 27, 'mse': 90950.453, 'learning_rate': 31.287428291270274, 'keep_value': 0.24219353382408848, 'reg_scale': 2.5822268482017832e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 233, 'nb_hidden2': 43, 'nb_hidden1': 213, 'mse': 333.97467, 'learning_rate': 2.243122025991716, 'keep_value': 0.97435287329475362, 'reg_scale': 0.046899153560524556, 'nb_hidden_layer': 2}
{'nb_hidden3': 305, 'nb_hidden2': 58, 'nb_hidden1': 418, 'mse': 136.83054, 'learning_rate': 0.049558636401471387, 'keep_value': 0.28103500937432768, 'reg_scale': 7.9719752261249261e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 385, 'nb_hidden2': 359, 'nb_hidden1': 375, 'mse': 37.967621, 'learning_rate': 8.2451631665035315e-05, 'keep_value': 0.40355984269650613, 'reg_scale': 2.8876744223435296, 'nb_hidden_layer': 2}
{'nb_hidden3': 389, 'nb_hidden2': 319, 'nb_hidden1': 318, 'mse': 4176722.2, 'learning_rate': 26.726962961143567, 'keep_value': 0.85818291386526258, 'reg_scale': 4.4610696540921951e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 262, 'nb_hidden2': 398, 'nb_hidden1': 357, 'mse': 51.873112, 'learning_rate': 0.0068735126615911994, 'keep_value': 0.39691315873857436, 'reg_scale': 0.001063300706912794, 'nb_hidden_layer': 2}
{'nb_hidden3': 340, 'nb_hidden2': 147, 'nb_hidden1': 344, 'mse': 2395307.5, 'learning_rate': 18.205226252446682, 'keep_value': 0.54346088586554553, 'reg_scale': 2.9481423557883959, 'nb_hidden_layer': 3}
{'nb_hidden3': 353, 'nb_hidden2': 342, 'nb_hidden1': 310, 'mse': 394.61957, 'learning_rate': 0.47348037301209395, 'keep_value': 0.33991707366368951, 'reg_scale': 1.2405242560044565e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 387, 'nb_hidden2': 186, 'nb_hidden1': 349, 'mse': 45.784119, 'learning_rate': 0.0039869455233177203, 'keep_value': 0.35697906573734928, 'reg_scale': 8.5797996177061811e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 35, 'nb_hidden2': 73, 'nb_hidden1': 260, 'mse': 10846.67, 'learning_rate': 3.4774497112604305e-05, 'keep_value': 0.72808621201767698, 'reg_scale': 0.0021975302246654022, 'nb_hidden_layer': 3}
{'nb_hidden3': 489, 'nb_hidden2': 265, 'nb_hidden1': 155, 'mse': 765934.62, 'learning_rate': 76.490726767405931, 'keep_value': 0.084505560005145197, 'reg_scale': 2.0448014115380199e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 451, 'nb_hidden2': 149, 'nb_hidden1': 28, 'mse': 14818.024, 'learning_rate': 1.3094709747724451e-05, 'keep_value': 0.99194031477486, 'reg_scale': 0.00037288745687649759, 'nb_hidden_layer': 1}
{'nb_hidden3': 139, 'nb_hidden2': 61, 'nb_hidden1': 88, 'mse': 174.95685, 'learning_rate': 0.015417479476172393, 'keep_value': 0.3412009763351721, 'reg_scale': 1.1809923776189686, 'nb_hidden_layer': 3}
{'nb_hidden3': 113, 'nb_hidden2': 93, 'nb_hidden1': 201, 'mse': 411.75464, 'learning_rate': 0.30407982785387633, 'keep_value': 0.92119412643402887, 'reg_scale': 0.0029063524541374803, 'nb_hidden_layer': 3}
{'nb_hidden3': 124, 'nb_hidden2': 140, 'nb_hidden1': 125, 'mse': 1267.8877, 'learning_rate': 1.1249915058417814, 'keep_value': 0.97528419487691154, 'reg_scale': 2.6423721468672841e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 258, 'nb_hidden2': 61, 'nb_hidden1': 212, 'mse': 792.77173, 'learning_rate': 0.21077454222503697, 'keep_value': 0.20484568399798886, 'reg_scale': 0.18953689812511609, 'nb_hidden_layer': 3}
{'nb_hidden3': 325, 'nb_hidden2': 417, 'nb_hidden1': 352, 'mse': 39.392616, 'learning_rate': 4.000063017752458e-05, 'keep_value': 0.60822904372316344, 'reg_scale': 2.8221378947992273e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 455, 'nb_hidden2': 402, 'nb_hidden1': 405, 'mse': 302.60864, 'learning_rate': 0.047448091533672181, 'keep_value': 0.66011804913518235, 'reg_scale': 0.03236771354961504, 'nb_hidden_layer': 3}
{'nb_hidden3': 170, 'nb_hidden2': 48, 'nb_hidden1': 220, 'mse': 39.035664, 'learning_rate': 0.0011458548920225621, 'keep_value': 0.76359901162900101, 'reg_scale': 2.6297929852737412e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 12, 'nb_hidden2': 310, 'nb_hidden1': 22, 'mse': 306.64227, 'learning_rate': 0.10930933981834262, 'keep_value': 0.97136857206384819, 'reg_scale': 6.5196069528969183, 'nb_hidden_layer': 1}
{'nb_hidden3': 276, 'nb_hidden2': 469, 'nb_hidden1': 177, 'mse': 49.821156, 'learning_rate': 0.012587947785945127, 'keep_value': 0.3232852258357326, 'reg_scale': 0.001954831085677634, 'nb_hidden_layer': 1}
{'nb_hidden3': 195, 'nb_hidden2': 436, 'nb_hidden1': 5, 'mse': 940.74921, 'learning_rate': 57.091541478249411, 'keep_value': 0.87865594659683977, 'reg_scale': 0.0016540259327154081, 'nb_hidden_layer': 1}
{'nb_hidden3': 81, 'nb_hidden2': 349, 'nb_hidden1': 30, 'mse': 56.358536, 'learning_rate': 0.021714861543613583, 'keep_value': 0.93445775356514471, 'reg_scale': 0.00088549618323027822, 'nb_hidden_layer': 2}
{'nb_hidden3': 236, 'nb_hidden2': 417, 'nb_hidden1': 329, 'mse': 60911.047, 'learning_rate': 22.079905478877198, 'keep_value': 0.25016192736858933, 'reg_scale': 1.9600907987466554, 'nb_hidden_layer': 2}
{'nb_hidden3': 407, 'nb_hidden2': 407, 'nb_hidden1': 237, 'mse': 50.911327, 'learning_rate': 0.007401294169878417, 'keep_value': 0.80270847160605241, 'reg_scale': 3.292361690193812e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 401, 'nb_hidden2': 119, 'nb_hidden1': 18, 'mse': 145.77957, 'learning_rate': 0.0038064422855030888, 'keep_value': 0.2586977684603099, 'reg_scale': 4.0000276067251965, 'nb_hidden_layer': 3}
{'nb_hidden3': 134, 'nb_hidden2': 316, 'nb_hidden1': 302, 'mse': 1458.9828, 'learning_rate': 0.92987854356817501, 'keep_value': 0.045214407682923063, 'reg_scale': 3.3247323313348223e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 30, 'nb_hidden2': 389, 'nb_hidden1': 239, 'mse': 50.288216, 'learning_rate': 0.0057629625119968407, 'keep_value': 0.89250955326963055, 'reg_scale': 3.3620197867871163e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 81, 'nb_hidden2': 168, 'nb_hidden1': 90, 'mse': 52.313858, 'learning_rate': 0.10599633642660534, 'keep_value': 0.43143893348092921, 'reg_scale': 8.8484642775288819e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 400, 'nb_hidden2': 436, 'nb_hidden1': 174, 'mse': 2832.6892, 'learning_rate': 2.0786821933515354, 'keep_value': 0.11008229395302549, 'reg_scale': 4.3249381030818888e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 156, 'nb_hidden2': 454, 'nb_hidden1': 393, 'mse': 310630.44, 'learning_rate': 38.242276422965958, 'keep_value': 0.60764744851376917, 'reg_scale': 0.58040212120744605, 'nb_hidden_layer': 3}
{'nb_hidden3': 396, 'nb_hidden2': 280, 'nb_hidden1': 80, 'mse': 13381.756, 'learning_rate': 2.1646689481095914e-05, 'keep_value': 0.69748670464267881, 'reg_scale': 2.2929613953936168e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 92, 'nb_hidden2': 336, 'nb_hidden1': 179, 'mse': 37849.883, 'learning_rate': 2.0986423331386126, 'keep_value': 0.8260880027055415, 'reg_scale': 0.0042575751000198479, 'nb_hidden_layer': 2}
{'nb_hidden3': 188, 'nb_hidden2': 263, 'nb_hidden1': 278, 'mse': 843607.88, 'learning_rate': 33.582964450551842, 'keep_value': 0.49923036847589164, 'reg_scale': 0.095769146179610215, 'nb_hidden_layer': 3}
{'nb_hidden3': 92, 'nb_hidden2': 292, 'nb_hidden1': 465, 'mse': 48.608002, 'learning_rate': 0.013395460645829468, 'keep_value': 0.95847032997496251, 'reg_scale': 0.2747080727166184, 'nb_hidden_layer': 3}
{'nb_hidden3': 300, 'nb_hidden2': 54, 'nb_hidden1': 141, 'mse': 180.31012, 'learning_rate': 0.010034474256834845, 'keep_value': 0.77519116224090268, 'reg_scale': 2.3738466269512237, 'nb_hidden_layer': 3}
{'nb_hidden3': 234, 'nb_hidden2': 385, 'nb_hidden1': 124, 'mse': 42.25539, 'learning_rate': 0.00033236401428183009, 'keep_value': 0.9379835308116502, 'reg_scale': 9.9302239333230879e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 370, 'nb_hidden2': 74, 'nb_hidden1': 188, 'mse': 501.78207, 'learning_rate': 0.86197194742540417, 'keep_value': 0.072462283611099965, 'reg_scale': 0.00012462729796979834, 'nb_hidden_layer': 2}
