{'nb_hidden3': 58, 'nb_hidden2': 116, 'nb_hidden1': 161, 'mse': 3083.3865, 'learning_rate': 4.6511165762778397, 'keep_value': 0.64304215068421511, 'reg_scale': 6.1511435465387203, 'nb_hidden_layer': 2}
{'nb_hidden3': 90, 'nb_hidden2': 209, 'nb_hidden1': 297, 'mse': 0.42356813, 'learning_rate': 0.0081491969844036932, 'keep_value': 0.60543274907147682, 'reg_scale': 0.00042428160163828437, 'nb_hidden_layer': 2}
{'nb_hidden3': 456, 'nb_hidden2': 149, 'nb_hidden1': 490, 'mse': 0.047675472, 'learning_rate': 0.0023577995470275143, 'keep_value': 0.086540731378241698, 'reg_scale': 2.7282830179929665, 'nb_hidden_layer': 1}
{'nb_hidden3': 93, 'nb_hidden2': 462, 'nb_hidden1': 14, 'mse': 0.13573162, 'learning_rate': 5.4673250351235297e-05, 'keep_value': 0.58426220980868659, 'reg_scale': 7.8414773049746392e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 384, 'nb_hidden2': 37, 'nb_hidden1': 149, 'mse': 0.056052957, 'learning_rate': 0.024734851600251035, 'keep_value': 0.13202250832328333, 'reg_scale': 3.1051004302258055e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 7, 'nb_hidden2': 325, 'nb_hidden1': 238, 'mse': 0.13090125, 'learning_rate': 0.007906195590177495, 'keep_value': 0.51523669473553746, 'reg_scale': 0.0047769465571287093, 'nb_hidden_layer': 2}
{'nb_hidden3': 201, 'nb_hidden2': 145, 'nb_hidden1': 146, 'mse': 2014.9252, 'learning_rate': 11.677105727496254, 'keep_value': 0.57165149951794536, 'reg_scale': 0.00052743599070402655, 'nb_hidden_layer': 3}
{'nb_hidden3': 35, 'nb_hidden2': 129, 'nb_hidden1': 40, 'mse': 8215.1133, 'learning_rate': 17.234967483620476, 'keep_value': 0.17053907793858492, 'reg_scale': 5.0030936250032922e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 420, 'nb_hidden2': 266, 'nb_hidden1': 387, 'mse': 3.7934988, 'learning_rate': 4.7929714495972893e-05, 'keep_value': 0.97909417870355409, 'reg_scale': 3.5880685861181782, 'nb_hidden_layer': 1}
{'nb_hidden3': 106, 'nb_hidden2': 232, 'nb_hidden1': 221, 'mse': 0.2039291, 'learning_rate': 0.019118263574818897, 'keep_value': 0.29779080672342551, 'reg_scale': 2.6678507588115719, 'nb_hidden_layer': 3}
{'nb_hidden3': 43, 'nb_hidden2': 172, 'nb_hidden1': 76, 'mse': 0.16305962, 'learning_rate': 0.43215384011774632, 'keep_value': 0.63005444801314525, 'reg_scale': 2.9608160452706406e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 371, 'nb_hidden2': 16, 'nb_hidden1': 51, 'mse': 0.02472876, 'learning_rate': 0.00010042128328394462, 'keep_value': 0.18015717668562858, 'reg_scale': 0.0045999382130178295, 'nb_hidden_layer': 3}
{'nb_hidden3': 303, 'nb_hidden2': 427, 'nb_hidden1': 162, 'mse': 0.34407103, 'learning_rate': 0.021938565264990738, 'keep_value': 0.58146399824319495, 'reg_scale': 1.2967796065927253, 'nb_hidden_layer': 2}
{'nb_hidden3': 425, 'nb_hidden2': 89, 'nb_hidden1': 377, 'mse': 1009455.8, 'learning_rate': 61.026433606897669, 'keep_value': 0.13419779404560916, 'reg_scale': 0.48704075085523091, 'nb_hidden_layer': 2}
{'nb_hidden3': 341, 'nb_hidden2': 359, 'nb_hidden1': 487, 'mse': 1.3177769, 'learning_rate': 0.00058885734588356683, 'keep_value': 0.33935074224964756, 'reg_scale': 1.2620904950223274e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 102, 'nb_hidden2': 494, 'nb_hidden1': 157, 'mse': 4318.4688, 'learning_rate': 4.3472269513724049, 'keep_value': 0.70415607605006048, 'reg_scale': 4.1537213757886891, 'nb_hidden_layer': 3}
{'nb_hidden3': 74, 'nb_hidden2': 450, 'nb_hidden1': 122, 'mse': 10970050.0, 'learning_rate': 71.410290172816644, 'keep_value': 0.38423026215553868, 'reg_scale': 8.8856581587236239, 'nb_hidden_layer': 1}
{'nb_hidden3': 9, 'nb_hidden2': 88, 'nb_hidden1': 42, 'mse': 0.021085985, 'learning_rate': 0.00077552518879591217, 'keep_value': 0.70791579948335182, 'reg_scale': 0.0029444477924970769, 'nb_hidden_layer': 3}
