{'nb_hidden3': 329, 'nb_hidden2': 486, 'nb_hidden1': 243, 'mse': 3264415.8, 'learning_rate': 51.136258345171413, 'keep_value': 0.99286548469329361, 'reg_scale': 1.2808402244837668e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 427, 'nb_hidden2': 461, 'nb_hidden1': 174, 'mse': 0.22532366, 'learning_rate': 0.0033832654562298845, 'keep_value': 0.001997807648818184, 'reg_scale': 0.0020246034268340987, 'nb_hidden_layer': 3}
{'nb_hidden3': 381, 'nb_hidden2': 53, 'nb_hidden1': 75, 'mse': 0.04527114, 'learning_rate': 0.00070955239777895996, 'keep_value': 0.80253061240513657, 'reg_scale': 3.0317838232000424e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 277, 'nb_hidden2': 120, 'nb_hidden1': 401, 'mse': 139.93179, 'learning_rate': 2.3206919489993982, 'keep_value': 0.95966566287755717, 'reg_scale': 0.0002046181155789883, 'nb_hidden_layer': 2}
{'nb_hidden3': 203, 'nb_hidden2': 471, 'nb_hidden1': 281, 'mse': 1180.4592, 'learning_rate': 0.4726495693149867, 'keep_value': 0.95056055679071272, 'reg_scale': 0.0039826411358056812, 'nb_hidden_layer': 1}
{'nb_hidden3': 7, 'nb_hidden2': 17, 'nb_hidden1': 361, 'mse': 0.04145211, 'learning_rate': 0.00062076581928982176, 'keep_value': 0.31553304797390547, 'reg_scale': 1.5917316955652789e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 51, 'nb_hidden2': 174, 'nb_hidden1': 273, 'mse': 0.043387093, 'learning_rate': 1.4080870217202416e-05, 'keep_value': 0.10199903663776033, 'reg_scale': 9.998098092350943e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 149, 'nb_hidden2': 273, 'nb_hidden1': 454, 'mse': 5915868.5, 'learning_rate': 23.109179227181759, 'keep_value': 0.15106317308413553, 'reg_scale': 1.0774489495537709e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 201, 'nb_hidden2': 161, 'nb_hidden1': 374, 'mse': 89.470581, 'learning_rate': 4.4137755696568135, 'keep_value': 0.79035133073916364, 'reg_scale': 0.0012661184923274211, 'nb_hidden_layer': 3}
{'nb_hidden3': 473, 'nb_hidden2': 138, 'nb_hidden1': 385, 'mse': 0.42188892, 'learning_rate': 1.2505539593635688e-05, 'keep_value': 0.32042837087734466, 'reg_scale': 0.1057632773023983, 'nb_hidden_layer': 3}
