{'nb_hidden3': 288, 'nb_hidden2': 371, 'nb_hidden1': 370, 'mse': 3901.168, 'learning_rate': 2.20595170880117, 'keep_value': 0.040408537767873898, 'reg_scale': 0.12401879614471992, 'nb_hidden_layer': 2}
{'nb_hidden3': 229, 'nb_hidden2': 169, 'nb_hidden1': 17, 'mse': 52.644619, 'learning_rate': 0.00010494901674045803, 'keep_value': 0.46008655780699603, 'reg_scale': 0.0030584342970254208, 'nb_hidden_layer': 3}
{'nb_hidden3': 98, 'nb_hidden2': 321, 'nb_hidden1': 191, 'mse': 84.875137, 'learning_rate': 0.27972784758044755, 'keep_value': 0.087398427231640263, 'reg_scale': 8.4404732803437046, 'nb_hidden_layer': 1}
{'nb_hidden3': 156, 'nb_hidden2': 430, 'nb_hidden1': 390, 'mse': 72.432205, 'learning_rate': 0.068565396462841904, 'keep_value': 0.72345409653919135, 'reg_scale': 0.95722879641768732, 'nb_hidden_layer': 1}
{'nb_hidden3': 393, 'nb_hidden2': 153, 'nb_hidden1': 167, 'mse': 121.13835, 'learning_rate': 0.68003399781956742, 'keep_value': 0.0055055434259785319, 'reg_scale': 3.8797412358302321e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 451, 'nb_hidden2': 38, 'nb_hidden1': 444, 'mse': 2001936.2, 'learning_rate': 26.448817696958809, 'keep_value': 0.83122783619209295, 'reg_scale': 0.00040663042409054079, 'nb_hidden_layer': 3}
{'nb_hidden3': 482, 'nb_hidden2': 439, 'nb_hidden1': 483, 'mse': 94504080.0, 'learning_rate': 87.754122949834112, 'keep_value': 0.89296312561847524, 'reg_scale': 0.00013658381536389475, 'nb_hidden_layer': 3}
{'nb_hidden3': 179, 'nb_hidden2': 365, 'nb_hidden1': 448, 'mse': 397.70483, 'learning_rate': 2.9674830870525115, 'keep_value': 0.97835873544304885, 'reg_scale': 0.00036400519300215563, 'nb_hidden_layer': 2}
{'nb_hidden3': 95, 'nb_hidden2': 473, 'nb_hidden1': 11, 'mse': 6141.9023, 'learning_rate': 3.3221536885540783, 'keep_value': 0.021784610619079103, 'reg_scale': 1.0538927817812347e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 119, 'nb_hidden2': 102, 'nb_hidden1': 348, 'mse': 45.474773, 'learning_rate': 5.0211679867372981e-05, 'keep_value': 0.26319166752791157, 'reg_scale': 4.2250679224378651e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 187, 'nb_hidden2': 287, 'nb_hidden1': 345, 'mse': 558822.0, 'learning_rate': 16.268559089172932, 'keep_value': 0.42282890855787325, 'reg_scale': 2.2870040497256658e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 219, 'nb_hidden2': 431, 'nb_hidden1': 22, 'mse': 73.351395, 'learning_rate': 0.10341009234520136, 'keep_value': 0.94743254229536611, 'reg_scale': 7.7584751107560257e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 499, 'nb_hidden2': 421, 'nb_hidden1': 226, 'mse': 4670694.0, 'learning_rate': 14.333257762883029, 'keep_value': 0.20765346832795784, 'reg_scale': 8.8386332963453841e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 453, 'nb_hidden2': 273, 'nb_hidden1': 167, 'mse': 163.73605, 'learning_rate': 0.16883523445872994, 'keep_value': 0.69028591541479423, 'reg_scale': 6.0464568866424391e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 329, 'nb_hidden2': 223, 'nb_hidden1': 190, 'mse': 23.729469, 'learning_rate': 0.0021884654186367244, 'keep_value': 0.3620926726664413, 'reg_scale': 0.0052630825211328735, 'nb_hidden_layer': 1}
{'nb_hidden3': 185, 'nb_hidden2': 207, 'nb_hidden1': 32, 'mse': 77.094978, 'learning_rate': 1.8309634520439284e-05, 'keep_value': 0.66627517791610458, 'reg_scale': 0.026509217212042, 'nb_hidden_layer': 2}
{'nb_hidden3': 85, 'nb_hidden2': 239, 'nb_hidden1': 163, 'mse': 75.73175, 'learning_rate': 7.224265386839746e-05, 'keep_value': 0.99722773856105007, 'reg_scale': 3.1534368255705654, 'nb_hidden_layer': 1}
{'nb_hidden3': 295, 'nb_hidden2': 494, 'nb_hidden1': 99, 'mse': 3200.1509, 'learning_rate': 1.59038677167325, 'keep_value': 0.020530533868599044, 'reg_scale': 4.8372728437341151e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 459, 'nb_hidden2': 358, 'nb_hidden1': 115, 'mse': 371.0611, 'learning_rate': 0.20818771914690778, 'keep_value': 0.8769405183915514, 'reg_scale': 5.9324033499612439, 'nb_hidden_layer': 3}
{'nb_hidden3': 206, 'nb_hidden2': 491, 'nb_hidden1': 55, 'mse': 33.511097, 'learning_rate': 0.0025617173232509389, 'keep_value': 0.72078782267237251, 'reg_scale': 6.5034313950719266e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 176, 'nb_hidden2': 359, 'nb_hidden1': 44, 'mse': 59.688004, 'learning_rate': 0.021659425150315725, 'keep_value': 0.030453173879342876, 'reg_scale': 0.0029918194207860138, 'nb_hidden_layer': 3}
{'nb_hidden3': 125, 'nb_hidden2': 104, 'nb_hidden1': 260, 'mse': 51.007366, 'learning_rate': 9.7833227659202616e-05, 'keep_value': 0.15648909668833488, 'reg_scale': 1.3408867523993748, 'nb_hidden_layer': 2}
{'nb_hidden3': 352, 'nb_hidden2': 401, 'nb_hidden1': 369, 'mse': 41.762367, 'learning_rate': 0.00015550750925921137, 'keep_value': 0.38985598640090791, 'reg_scale': 4.097063161234143e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 124, 'nb_hidden2': 320, 'nb_hidden1': 24, 'mse': 945.33264, 'learning_rate': 2.5277007218826264, 'keep_value': 0.67880632552034903, 'reg_scale': 2.8780534197651312e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 472, 'nb_hidden2': 267, 'nb_hidden1': 235, 'mse': 179.32535, 'learning_rate': 0.04092518547660122, 'keep_value': 0.092588878782397299, 'reg_scale': 6.8536474876034152e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 145, 'nb_hidden2': 400, 'nb_hidden1': 457, 'mse': 86.231392, 'learning_rate': 0.63495608237576273, 'keep_value': 0.32565331279462173, 'reg_scale': 5.7140896030493625e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 90, 'nb_hidden2': 365, 'nb_hidden1': 20, 'mse': 64.800537, 'learning_rate': 0.020306940994431911, 'keep_value': 0.65341675754543638, 'reg_scale': 7.0090552777447989e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 132, 'nb_hidden2': 34, 'nb_hidden1': 391, 'mse': 48.316963, 'learning_rate': 0.00033123010120010804, 'keep_value': 0.66055946200077897, 'reg_scale': 0.030104035849985365, 'nb_hidden_layer': 1}
{'nb_hidden3': 423, 'nb_hidden2': 33, 'nb_hidden1': 18, 'mse': 78.987968, 'learning_rate': 0.18341751770625431, 'keep_value': 0.74723404000222315, 'reg_scale': 6.2395009873649333e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 365, 'nb_hidden2': 351, 'nb_hidden1': 264, 'mse': 74.548988, 'learning_rate': 0.86398139991023026, 'keep_value': 0.63635679290608926, 'reg_scale': 4.7020112585865495e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 419, 'nb_hidden2': 315, 'nb_hidden1': 411, 'mse': 37.594379, 'learning_rate': 0.00025620739338206216, 'keep_value': 0.5809732191440875, 'reg_scale': 1.9913486428027553e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 268, 'nb_hidden2': 272, 'nb_hidden1': 164, 'mse': 39406.102, 'learning_rate': 30.247156935448004, 'keep_value': 0.42905427274582086, 'reg_scale': 1.2299712194999516e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 375, 'nb_hidden2': 179, 'nb_hidden1': 302, 'mse': 30.23521, 'learning_rate': 7.7717721034115066e-05, 'keep_value': 0.50674494381109003, 'reg_scale': 0.0010801049243258825, 'nb_hidden_layer': 3}
{'nb_hidden3': 390, 'nb_hidden2': 317, 'nb_hidden1': 230, 'mse': 35.142372, 'learning_rate': 0.00011500208248346526, 'keep_value': 0.42018234766694307, 'reg_scale': 0.4912705503292587, 'nb_hidden_layer': 3}
{'nb_hidden3': 347, 'nb_hidden2': 219, 'nb_hidden1': 271, 'mse': 28.100193, 'learning_rate': 0.0084148491338202642, 'keep_value': 0.75479818765881579, 'reg_scale': 4.20393587211054e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 200, 'nb_hidden2': 243, 'nb_hidden1': 457, 'mse': 38.253925, 'learning_rate': 3.6389675324454778e-05, 'keep_value': 0.59439650353271289, 'reg_scale': 6.5211981503423179e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 240, 'nb_hidden2': 359, 'nb_hidden1': 290, 'mse': 291417.12, 'learning_rate': 7.7339808992892092, 'keep_value': 0.64277702165528283, 'reg_scale': 8.8788467116140186, 'nb_hidden_layer': 2}
{'nb_hidden3': 266, 'nb_hidden2': 65, 'nb_hidden1': 303, 'mse': 42.678925, 'learning_rate': 0.0011312887287771871, 'keep_value': 0.99096556339609054, 'reg_scale': 1.4871057185069572e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 8, 'nb_hidden2': 272, 'nb_hidden1': 178, 'mse': 6655.46, 'learning_rate': 2.9503165076388953, 'keep_value': 0.36004932846543669, 'reg_scale': 2.6893794239161231e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 499, 'nb_hidden2': 337, 'nb_hidden1': 498, 'mse': 78.681244, 'learning_rate': 0.012682170761040029, 'keep_value': 0.53561525308362445, 'reg_scale': 4.3371143283158506e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 169, 'nb_hidden2': 185, 'nb_hidden1': 145, 'mse': 34.464832, 'learning_rate': 0.0051749899651497505, 'keep_value': 0.066316709250537009, 'reg_scale': 0.0060429841527889329, 'nb_hidden_layer': 3}
{'nb_hidden3': 393, 'nb_hidden2': 456, 'nb_hidden1': 425, 'mse': 187.34116, 'learning_rate': 0.01635003932159855, 'keep_value': 0.82516174738870052, 'reg_scale': 0.00067866864782297831, 'nb_hidden_layer': 3}
{'nb_hidden3': 203, 'nb_hidden2': 151, 'nb_hidden1': 147, 'mse': 30.49971, 'learning_rate': 0.0031574560276636178, 'keep_value': 0.93458839557194295, 'reg_scale': 4.6992584532160522e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 396, 'nb_hidden2': 146, 'nb_hidden1': 409, 'mse': 146.84029, 'learning_rate': 0.0500845996486909, 'keep_value': 0.97843424197344142, 'reg_scale': 5.4856489598523342e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 118, 'nb_hidden2': 322, 'nb_hidden1': 23, 'mse': 42.565693, 'learning_rate': 0.0072559043008052892, 'keep_value': 0.0043591291628324313, 'reg_scale': 0.008461635559523074, 'nb_hidden_layer': 3}
{'nb_hidden3': 295, 'nb_hidden2': 324, 'nb_hidden1': 464, 'mse': 71.48378, 'learning_rate': 1.0981693106757552e-05, 'keep_value': 0.56747189504680617, 'reg_scale': 2.1491658214154092e-06, 'nb_hidden_layer': 2}
