{'nb_hidden3': 484, 'nb_hidden2': 394, 'nb_hidden1': 205, 'mse': 302.7619, 'learning_rate': 0.40834313042660991, 'keep_value': 0.087475708045803957, 'reg_scale': 1.491519564286852e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 460, 'nb_hidden2': 14, 'nb_hidden1': 472, 'mse': 3493145.8, 'learning_rate': 15.904580218874534, 'keep_value': 0.91675659638780849, 'reg_scale': 7.3726539110686842, 'nb_hidden_layer': 3}
{'nb_hidden3': 499, 'nb_hidden2': 468, 'nb_hidden1': 277, 'mse': 85.197495, 'learning_rate': 0.0020161710981553825, 'keep_value': 0.9494926195521991, 'reg_scale': 1.196231360831731e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 405, 'nb_hidden2': 433, 'nb_hidden1': 20, 'mse': 149.61653, 'learning_rate': 0.3618992191246091, 'keep_value': 0.70443531849228813, 'reg_scale': 1.0278060287544732, 'nb_hidden_layer': 1}
{'nb_hidden3': 228, 'nb_hidden2': 215, 'nb_hidden1': 307, 'mse': 8736780.0, 'learning_rate': 30.93369788399421, 'keep_value': 0.16361930448934536, 'reg_scale': 0.026693451716578599, 'nb_hidden_layer': 1}
{'nb_hidden3': 179, 'nb_hidden2': 166, 'nb_hidden1': 108, 'mse': 344.71753, 'learning_rate': 2.8155671786664905e-05, 'keep_value': 0.17759808646947139, 'reg_scale': 0.0025865992363381311, 'nb_hidden_layer': 1}
{'nb_hidden3': 90, 'nb_hidden2': 499, 'nb_hidden1': 446, 'mse': 73.916313, 'learning_rate': 0.014784237598095691, 'keep_value': 0.59345913677734985, 'reg_scale': 0.00015079412274928046, 'nb_hidden_layer': 3}
{'nb_hidden3': 182, 'nb_hidden2': 473, 'nb_hidden1': 325, 'mse': 53.684677, 'learning_rate': 0.01711254288164854, 'keep_value': 0.5825200844447066, 'reg_scale': 1.8875620069340338e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 387, 'nb_hidden2': 77, 'nb_hidden1': 223, 'mse': 29.252541, 'learning_rate': 4.833543536034248e-05, 'keep_value': 0.15444533266771454, 'reg_scale': 0.060569389099158918, 'nb_hidden_layer': 2}
{'nb_hidden3': 72, 'nb_hidden2': 193, 'nb_hidden1': 379, 'mse': 43.431648, 'learning_rate': 0.00012354889645380498, 'keep_value': 0.7184823575034327, 'reg_scale': 7.0345233381131294e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 107, 'nb_hidden2': 93, 'nb_hidden1': 104, 'mse': 74.624268, 'learning_rate': 0.02316941018677935, 'keep_value': 0.26157315273864201, 'reg_scale': 7.0801819417990098e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 464, 'nb_hidden2': 303, 'nb_hidden1': 80, 'mse': 375.47247, 'learning_rate': 0.77053856972822965, 'keep_value': 0.73508894086788945, 'reg_scale': 0.1438880433668854, 'nb_hidden_layer': 1}
{'nb_hidden3': 300, 'nb_hidden2': 77, 'nb_hidden1': 245, 'mse': 117.85375, 'learning_rate': 0.0053872600114995639, 'keep_value': 0.45637921495827982, 'reg_scale': 7.076857078789426, 'nb_hidden_layer': 2}
{'nb_hidden3': 252, 'nb_hidden2': 469, 'nb_hidden1': 499, 'mse': 2359963.5, 'learning_rate': 19.767146750907617, 'keep_value': 0.56222594486088406, 'reg_scale': 0.0014521248210119931, 'nb_hidden_layer': 2}
{'nb_hidden3': 486, 'nb_hidden2': 185, 'nb_hidden1': 317, 'mse': 71.542557, 'learning_rate': 0.0019978141844788264, 'keep_value': 0.11459636828285114, 'reg_scale': 0.00019500843608999001, 'nb_hidden_layer': 3}
{'nb_hidden3': 293, 'nb_hidden2': 25, 'nb_hidden1': 419, 'mse': 45.372486, 'learning_rate': 0.0024770724638082499, 'keep_value': 0.55078153946295116, 'reg_scale': 8.2424839500092736e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 347, 'nb_hidden2': 182, 'nb_hidden1': 43, 'mse': 4666.9985, 'learning_rate': 0.57113597721139209, 'keep_value': 0.80240313668802887, 'reg_scale': 2.0612980857097987, 'nb_hidden_layer': 3}
{'nb_hidden3': 334, 'nb_hidden2': 284, 'nb_hidden1': 393, 'mse': 45.528294, 'learning_rate': 0.00019457425223368062, 'keep_value': 0.99669842990465041, 'reg_scale': 5.2042092112369275e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 143, 'nb_hidden2': 79, 'nb_hidden1': 34, 'mse': 405.0311, 'learning_rate': 1.8500269216308027, 'keep_value': 0.22273378578387137, 'reg_scale': 7.8879832833301306e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 446, 'nb_hidden2': 138, 'nb_hidden1': 140, 'mse': 604393.62, 'learning_rate': 12.757141845044982, 'keep_value': 0.6944640778834319, 'reg_scale': 0.13186927584256963, 'nb_hidden_layer': 1}
{'nb_hidden3': 212, 'nb_hidden2': 327, 'nb_hidden1': 471, 'mse': 89.251663, 'learning_rate': 0.039763609887063761, 'keep_value': 0.51277355132527835, 'reg_scale': 0.035955255203028912, 'nb_hidden_layer': 1}
{'nb_hidden3': 206, 'nb_hidden2': 351, 'nb_hidden1': 221, 'mse': 19890.332, 'learning_rate': 1.8326017696779178, 'keep_value': 0.088045204417099954, 'reg_scale': 6.3761037886724123, 'nb_hidden_layer': 1}
{'nb_hidden3': 35, 'nb_hidden2': 154, 'nb_hidden1': 352, 'mse': 149985.52, 'learning_rate': 12.520767878565596, 'keep_value': 0.32492118030771966, 'reg_scale': 1.3302521353176894e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 205, 'nb_hidden2': 117, 'nb_hidden1': 351, 'mse': 9192.4492, 'learning_rate': 6.0417762695124599, 'keep_value': 0.076570971843458069, 'reg_scale': 1.7484958304133002e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 9, 'nb_hidden2': 422, 'nb_hidden1': 439, 'mse': 129.0759, 'learning_rate': 1.1161022187233188e-05, 'keep_value': 0.60270041177504741, 'reg_scale': 0.033457444899440851, 'nb_hidden_layer': 1}
{'nb_hidden3': 495, 'nb_hidden2': 278, 'nb_hidden1': 151, 'mse': 114.98171, 'learning_rate': 0.0018197234753153844, 'keep_value': 0.020482742731170567, 'reg_scale': 0.71608092919498456, 'nb_hidden_layer': 1}
{'nb_hidden3': 445, 'nb_hidden2': 166, 'nb_hidden1': 394, 'mse': 965.3175, 'learning_rate': 1.4654713332649101, 'keep_value': 0.20882416477471932, 'reg_scale': 2.0488087496975829e-06, 'nb_hidden_layer': 3}
{'nb_hidden3': 362, 'nb_hidden2': 196, 'nb_hidden1': 278, 'mse': 19434.139, 'learning_rate': 2.2791478813280932, 'keep_value': 0.58729016515182531, 'reg_scale': 0.0099140687374825263, 'nb_hidden_layer': 2}
{'nb_hidden3': 166, 'nb_hidden2': 472, 'nb_hidden1': 374, 'mse': 965.04102, 'learning_rate': 0.35661800080376971, 'keep_value': 0.26500814030697084, 'reg_scale': 1.2554926788358872e-05, 'nb_hidden_layer': 1}
