{'nb_hidden3': 409, 'nb_hidden2': 299, 'nb_hidden1': 215, 'mse': 988.53503, 'learning_rate': 0.14626040438468085, 'keep_value': 0.10847316582294253, 'reg_scale': 5.2826731879633333e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 170, 'nb_hidden2': 267, 'nb_hidden1': 89, 'mse': 16903.191, 'learning_rate': 3.3658079993527821, 'keep_value': 0.90761777474201899, 'reg_scale': 4.1182313477438661e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 292, 'nb_hidden2': 238, 'nb_hidden1': 350, 'mse': 41035680.0, 'learning_rate': 80.146660909429841, 'keep_value': 0.48837735746525024, 'reg_scale': 1.8917780676980356, 'nb_hidden_layer': 1}
{'nb_hidden3': 91, 'nb_hidden2': 8, 'nb_hidden1': 25, 'mse': 894.04065, 'learning_rate': 0.0084178942627701914, 'keep_value': 0.076865824956216855, 'reg_scale': 0.0028053796722355873, 'nb_hidden_layer': 3}
{'nb_hidden3': 148, 'nb_hidden2': 290, 'nb_hidden1': 206, 'mse': 198061.22, 'learning_rate': 6.8591139561140553, 'keep_value': 0.028442024188992887, 'reg_scale': 0.00075621070027333422, 'nb_hidden_layer': 1}
{'nb_hidden3': 338, 'nb_hidden2': 447, 'nb_hidden1': 137, 'mse': 814.50781, 'learning_rate': 0.00018552812281308819, 'keep_value': 0.03708373973625656, 'reg_scale': 0.045771912216558984, 'nb_hidden_layer': 2}
{'nb_hidden3': 421, 'nb_hidden2': 303, 'nb_hidden1': 291, 'mse': 817.83411, 'learning_rate': 0.008802672775477435, 'keep_value': 0.002309901219776811, 'reg_scale': 0.025662153084839323, 'nb_hidden_layer': 1}
{'nb_hidden3': 398, 'nb_hidden2': 203, 'nb_hidden1': 137, 'mse': 1058.1086, 'learning_rate': 0.062024094713428173, 'keep_value': 0.13812971987070488, 'reg_scale': 0.0014185902932830731, 'nb_hidden_layer': 2}
{'nb_hidden3': 495, 'nb_hidden2': 396, 'nb_hidden1': 280, 'mse': 831.43585, 'learning_rate': 0.012770828926120373, 'keep_value': 0.81388523546259939, 'reg_scale': 2.0244860950941946e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 486, 'nb_hidden2': 193, 'nb_hidden1': 102, 'mse': 863638.0, 'learning_rate': 94.294147357333884, 'keep_value': 0.79509963784157356, 'reg_scale': 0.0028889732917250243, 'nb_hidden_layer': 2}
{'nb_hidden3': 69, 'nb_hidden2': 347, 'nb_hidden1': 7, 'mse': 4048.1338, 'learning_rate': 4.8074799102202208, 'keep_value': 0.27251683506544744, 'reg_scale': 1.5582029141155195e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 491, 'nb_hidden2': 475, 'nb_hidden1': 481, 'mse': 3731.7043, 'learning_rate': 1.0593010008615993e-05, 'keep_value': 0.13943636209854826, 'reg_scale': 1.7629904725985199e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 239, 'nb_hidden2': 341, 'nb_hidden1': 10, 'mse': 1070.6978, 'learning_rate': 0.31517045933209287, 'keep_value': 0.29709967722504083, 'reg_scale': 0.00011184119154124992, 'nb_hidden_layer': 2}
{'nb_hidden3': 248, 'nb_hidden2': 154, 'nb_hidden1': 458, 'mse': 1014.6106, 'learning_rate': 0.023268707103043781, 'keep_value': 0.54782256524876838, 'reg_scale': 0.12508671928448631, 'nb_hidden_layer': 2}
{'nb_hidden3': 71, 'nb_hidden2': 234, 'nb_hidden1': 488, 'mse': 823.85242, 'learning_rate': 0.00085862457867897095, 'keep_value': 0.077300978105807605, 'reg_scale': 0.057949471183272663, 'nb_hidden_layer': 1}
{'nb_hidden3': 347, 'nb_hidden2': 262, 'nb_hidden1': 403, 'mse': 47932.516, 'learning_rate': 1.7412726633856639, 'keep_value': 0.97777726033958468, 'reg_scale': 4.2109132831126939, 'nb_hidden_layer': 2}
